name,date of b,date of birth,age,type,nationality
Beyoncé Knowles,1981-09-04,1981-09-04,42,"Pop, R&B",American
Ed Sheeran,1991-02-17,1991-02-17,33,"Pop, Folk, R&B",British
Ariana Grande,1993-06-26,1993-06-26,30,"Pop, R&B",American
Drake,1986-10-24,1986-10-24,37,"Hip Hop, R&B",Canadian
Adele,1988-05-05,1988-05-05,36,"Pop, Soul",British
Taylor Swift,1989-12-13,1989-12-13,34,"Pop, Country",American
Bruno Mars,1985-10-08,1985-10-08,38,"Pop, R&B, Funk",American
Rihanna,1988-02-20,1988-02-20,36,"Pop, R&B, Reggae",Barbadian
Billie Eilish,2001-12-18,2001-12-18,22,"Pop, Electropop",American
Justin Bieber,1994-03-01,1994-03-01,30,"Pop, R&B",Canadian
Lady Gaga,1986-03-28,1986-03-28,38,"Pop, Dance, Electronic",American
Post Malone,1995-06-04,1995-06-04,28,"Hip Hop, Pop, Rock",American
Kendrick Lamar,1987-06-17,1987-06-17,36,Hip Hop,American
Shawn Mendes,1998-08-08,1998-08-08,25,"Pop, Folk Pop",Canadian
The Weekend,1990-02-16,1990-02-16,34,"R&B, Pop",Canadian
Selena Gomez,1992-07-22,1992-07-22,31,Pop,American
Harry Styles,1994-02-01,1994-02-01,30,"Pop, Rock",British
Dua Lipa,1995-02-22,1995-02-22,28,"Pop, Disco",British
Cardi B,1992-10-11,1992-10-11,31,"Hip Hop, Rap",American
Travis Scott,1992-04-30,1992-04-30,32,"Hip Hop, Rap",American
Halsey,1994-9-29,1994-9-29,29,"Pop, Alternative",American
Khalid,1998-02-11,1998-02-11,26,"R&B, Pop",American
Camilla Cabello,1997-03-03,1997-03-03,27,"Pop, Latin",Cuban-American
Lizzo,1988-04-27,1988-04-27,36,"Pop, R&B",American
Megan Thee Stallion,1995-02-15,1995-02-15,29,"Hip Hop, Rap",American
Kanye West,1977-06-08,1977-06-08,46,"Hip Hop, Rap",American
Doja Cat,1995-10-21,1995-10-21,28,"Hip Hop, Rap",American
Sia,1975-12-18,1975-12-18,48,"Pop, Electropop",Australian
Charlie Puth,1991-12-02,1991-12-02,32,"Pop, R&B",American
John Legend,1978-12-28,1978-12-28,45,"R&B, Soul",American